customer_id,first_name,last_name,email,gender,date_of_birth,city,state,country
1,Jeffery,Galloway,kimberlygonzalez@summers-novak.com,F,1981-10-01,North Shirleymouth,KY,USA
2,Antonio,Smith,donald31@pratt.com,F,1979-07-27,East Jenna,NE,USA
3,Regina,Wright,martinezdiana@hotmail.com,F,1978-01-16,Weissmouth,DE,USA
4,Jeremy,Duke,johnhutchinson@mcguire.com,F,1964-06-08,Stephensonchester,DE,USA
5,Pamela,Walker,paul60@patrick.com,F,2003-06-03,Port Brett,AK,USA
6,Matthew,Weber,hmcguire@gmail.com,F,1961-12-21,Bryanthaven,IA,USA
7,James,Valdez,nicholas65@mcdowell-powell.com,F,1967-04-25,Sheilaport,ND,USA
8,Patrick,Williams,jimmycallahan@gmail.com,F,1964-10-03,Smithchester,IA,USA
9,Sean,Douglas,eneal@yahoo.com,M,1997-06-06,Randyburgh,CT,USA
10,Mason,Herman,oharvey@yahoo.com,F,1956-01-07,Fraziermouth,MI,USA
11,Ernest,Lopez,ashleyhurley@campbell-adams.com,F,1971-02-27,Atkinsshire,AL,USA
12,Susan,Golden,rebecca19@james-mooney.biz,M,1991-05-04,West Sarah,PA,USA
13,Brett,Ferguson,reyestheodore@escobar.biz,F,1970-06-17,North Stevebury,KS,USA
14,Lance,Valenzuela,dwayne63@gmail.com,M,2002-11-10,Lake Meaganview,SD,USA
15,Kayla,Mejia,lwerner@yahoo.com,F,1968-09-19,Maciaston,CO,USA
16,Karen,Padilla,christopher64@gmail.com,M,1954-08-04,North Rebeccahaven,CT,USA
17,Michael,Hudson,matthew48@elliott-ruiz.com,M,1969-10-26,Jonathanberg,WV,USA
18,Jacqueline,Chase,johnrodriguez@yahoo.com,M,2000-02-29,South Kimberlyburgh,MD,USA
19,Nicole,White,allenjanice@hancock-harris.org,M,1970-01-12,Berryfurt,UT,USA
20,Kimberly,Osborn,maystimothy@byrd-barton.org,F,1958-01-28,Ryanmouth,MD,USA
21,Angela,Martinez,wendyking@yahoo.com,F,1953-11-27,Hansonville,MS,USA
22,Brett,Carlson,jeffrey37@bowers.com,F,1979-08-06,East Jessica,MD,USA
23,Matthew,Schmidt,elliscarla@baker.org,M,2003-05-25,Ayershaven,HI,USA
24,Caitlin,Anthony,keith37@wu.com,F,2000-11-26,Briannaburgh,IL,USA
25,Sydney,Small,vmills@gmail.com,M,1989-07-06,East Michaelshire,WI,USA
26,Erica,Gonzalez,bradydamon@acosta-patterson.com,M,1988-03-18,Ianberg,KY,USA
27,Cheryl,Lawrence,craig56@gmail.com,M,1998-02-20,East Sara,SD,USA
28,Sarah,Noble,maryhawkins@pittman.net,M,1998-06-13,Jenkinsport,TX,USA
29,Anne,Marsh,johnsondonald@kelley.com,M,1958-03-03,Wadeland,CT,USA
30,Vanessa,Johns,krista38@daniels.com,M,1978-03-22,Landryhaven,OH,USA
31,Patrick,Wilson,michaelcastillo@yahoo.com,F,1967-06-26,Lake Meganville,CT,USA
32,Rickey,Martinez,heatherduncan@pearson.biz,F,1999-12-20,West Joseph,IL,USA
33,Nicole,Mckinney,psmith@yahoo.com,F,1954-10-26,Lake Amystad,AL,USA
34,Krystal,Spencer,kaitlin42@baker-craig.net,M,1974-06-30,Garciaburgh,VA,USA
35,Nicholas,Sosa,parkerstephen@hotmail.com,F,1993-03-01,New Stevenbury,MT,USA
36,Jessica,Clark,patricia16@rodriguez-english.org,M,1981-03-26,South Lisafurt,NY,USA
37,Matthew,Smith,gene12@allen.net,M,1997-05-13,Port Jamiechester,TN,USA
38,Gregg,Douglas,mcintoshanthony@montgomery.com,F,1973-05-12,Michelleborough,AR,USA
39,Daniel,Allen,blarson@dennis.info,M,1959-12-08,West Ariel,FL,USA
40,Jon,Crosby,egordon@hotmail.com,M,1989-09-12,Derrickside,WV,USA
41,Rebecca,Cunningham,jake43@gordon.com,M,1996-01-19,Katherinechester,LA,USA
42,Monica,Noble,aaronwhite@yahoo.com,F,1988-10-06,North Kimberlyburgh,TN,USA
43,Walter,Dennis,kchung@gmail.com,F,1985-05-29,Soniaburgh,MD,USA
44,Jenna,Byrd,mikaylacisneros@flowers.net,M,1963-11-20,North Timothymouth,CT,USA
